#CL_Utilization###
58H_2;Position Light left 2;Position Light Links 2;mixed;S;BI
58H_3_in_Emblem_l;58H_3_in_Emblem_l;58H_3_in_Emblem_l;DC;V;CRX
58H_3_in_Emblem_r;58H_3_in_Emblem_r;58H_3_in_Emblem_r;DC;V;CRX
58H_CH_LH_Signal;Coming Home/Leaving Home Signal;Coming Home/Leaving Home SIgnal;mixed;S;BI
58H_out_Emblem_l;Logo power;Logo power;mixed;S;BI
58H_out_Emblem_r;Logo PWM;Logo PWM;mixed;S;BI
58K;License_plate_lamps;Kennzeichenleuchten;mixed;S;BI
58_KSG;58_KSG_Rechts;HSS1;DC;V;IN
58_OUT_KSG+;58OUT;KSG;mixed;S;BI
58W_EN;58W_EN;58W_EN;mixed;S;BI
58xd;Clamp_58xd;Klemme_58xd;mixed;S;BI
58xs;Clamp 58xs;Klemme 58xs;mixed;S;CRX
58xs_IN;Clamp_58xs_input;Klemme_58xs_Eingang;mixed;S;BI
58xs_Sbel;Clamp_58xs;Klemme_58xs;mixed;S;IN
58xt;Clamp 58xt;Klemme 58xt;mixed;S;CRX
+5V;Power supply +5V;Versorgungsspannung +5V;DC;V;IN
5V_EW;5V_EW;5V_EW;DC;S;BI
5V_EXT;5V_EXT;5V_EXT;DC;S;OUT
791_SIOBP;791_SIOBP;791_SIOBP;mixed;S;BI
87A;protected_switched plus of the main relay;abgesichertes_geschaltetes Plus vom Hauptrelais;DC;V;IN
A2B-;A2B_Network-;A2B_Netzwerk-;mixed;D;BI
A2B+;A2B_Network+;A2B_Netzwerk+;mixed;D;BI
A2B1+;A2B_Network_1+;A2B_Netzwerk_1+;mixed;D;BI
A2B1-;A2B_Network_1-;A2B_Netzwerk_1-;mixed;D;BI
A2B2+;A2B_Network_2+;A2B_Netzwerk_2+;mixed;D;BI
A2B2-;A2B_Network_2-;A2B_Netzwerk_2-;mixed;D;BI
A2B3-;A2B_Network_3-;A2B_Netzwerk_3-;mixed;D;BI
A2B3+;A2B_Network_3+;A2B_Netzwerk_3+;mixed;D;BI
A2B4+;A2B_Network_4+;A2B_Netzwerk_4+;mixed;D;BI
A2B4-;A2B_Network_4-;A2B_Netzwerk_4-;mixed;D;BI
A2B_A+;A2B_Network_A+;A2B_Netzwerk_A+;LVDS1G;D;BI
A2B_A-;A2B_Network_A-;A2B_Netzwerk_A-;LVDS1G;D;BI
A2B_B+;A2B_Network_B+;A2B_Netzwerk_B+;LVDS1G;D;BI
A2B_B-;A2B_Network_B-;A2B_Netzwerk_B-;LVDS1G;D;BI
A2B_BO-;A2B_Booster_-;A2B_Verstaerker_-;mixed;D;BI
A2B_BO+;A2B_Booster_+;A2B_Verstaerker_+;mixed;D;BI
A2B_B-_RTM_RFM_Mic;A2B_B-_RTM_RFM_Mic;A2B_B-_RTM_RFM_Mic;mixed;S;BI
A2B_B+_RTM_RFM_Mic;A2B_B+_RTM_RFM_Mic;A2B_B+_RTM_RFM_Mic;mixed;S;BI
A2B_IN_+;A2B_Network_Input_+;A2B_Netzwerk_Eingang_+;mixed;D;IN
A2B_IN_-;A2B_Network_Input_-;A2B_Netzwerk_Eingang_-;mixed;D;IN
A2B_IVI+;A2B_in_vehicle_infotaiment+;A2B_Fahrzeuginfotaiment+;mixed;D;BI
A2B_IVI-;A2B_in_vehicle_infotaiment-;A2B_Fahrzeuginfotaiment-;mixed;D;BI
A2B_Mic-;A2B_microfone_-;A2B_Mikrofon_-;mixed;D;BI
A2B_Mic+;A2B_microfone_+;A2B_Mikrofon_+;mixed;D;BI
A2B_OUT_+;A2B_Network_Output_+;A2B_Netzwerk_Ausgang_+;mixed;D;BI
A2B_OUT_-;A2B_Network_Output_-;A2B_Netzwerk_Ausgang_-;mixed;D;BI
A2B_RFM+;A2B_radio_farm_module_+;A2B_Radiofarm_+;mixed;D;BI
A2B_RFM_+;A2B_radio_farm_module_high_/_Radiomodul_Plus;A2B_radio_farm_module_high_/_Radiomodul_Plus;mixed;D;BI
A2B_RFM_-;A2B_radio_farm_module_high_/_Radiomodul_Minus;A2B_radio_farm_module_high_/_Radiomodul_Minus;mixed;D;BI
A2B_RFM-;A2B_radio_farm_module_-;A2B_Radiofarm_-;mixed;D;BI
A_AMP_C+;A_AMP_C+;A_AMP_C+;mixed;S;BI
A_AMP_C-;A_AMP_C-;A_AMP_C-;mixed;S;BI
A_AMP_FLT-;A_AMP_FLT-;A_AMP_FLT-;mixed;S;BI
A_AMP_FLT+;A_AMP_FLT+;A_AMP_FLT+;mixed;S;BI
ABL;Abblendlicht;Road Light;mixed;S;IN
ab_LS_hoch_RS;up_LS_down_RS;hoch_LS_ab_RS;mixed;S;BI
AbSchaltV-;Shut off Valve Minus;Abschaltventil Minus;DC;V;OUT
AbSchaltV+;ShutOffValve Plus;Abschaltventil Plus;DC;V;IN
ABT_GND;Low;Minus;mixed;S;BI
ABT_Power;High;Plus;mixed;S;BI
AC1_DCAC;AC1_Phase_of_isolated_grid_supply_DCAC;AC1_Phase_Inselnetzversorgung_DCAC;AC;V;OUT
AC2_DCAC;AC2_neutral_of_isolated_grid_supply_DCAC;AC2_neutral_Inselnetzversorgung_DCAC;AC;V;OUT
AC_COM+;AC_Compressor+;Klimakompressor+;mixed;V;BI
ACFlapInterlockMotor+;AC Flap Interlock Motor+;AC Ladeklappe Verriegelungsmotor+;DC;S;OUT
ACFlapInterlockMotor-;AC Flap Interlock Motor-;AC Ladeklappe Verriegelungsmotor-;DC;S;OUT
ACFlapLimitSwitch;AC Flap Interlock Detection Limit Switch;AC Ladeklappe Verriegelungssensor;DC;S;OUT
ACL;Air Cleaner;Luftreinigung_Luftreiniger;mixed;S;CRX
ACL-ISO26021;Scrapping Line ACL;Entsorgungszuendung;mixed;S;BI
AcPlugInterlockMotor-;AC Plug Interlock Motor-;AC Stecker Verriegelungsmotor-;DC;S;OUT
ACPlugInterlockMotor+;AC Plug Interlock Motor+;AC Stecker Verriegelungsmotor+;DC;S;OUT
AcplugLimitSwitch;AC Plug Interlock Detection Limit Switch;AC Stecker Verriegelungssensor;DC;S;OUT
ADAS_Kl30;Automatic_Driving_Assistance_System_clamp30;Autonomes_Fahrassistens_System_KL30;mixed;V;BI
AFLCornrngLigSuply;AFL Kurvenlicht_Abbiegelicht Versorgung;Adaptive Forward Lighting, Cornering light Supply;mixed;S;CRX
+AFS_Light_Element;connection line BCM AFS;Anschlussleitung BCM AFS;mixed;S;BI
AFS_ZL;AFS_ZL;AFS_Zusatzlicht;mixed;S;CRX
AGB;Expansion_tank;Ausgleichsbehlter;mixed;S;BI
AH_LED;AH switch indicator lamp;AH-Taster-Funktionsbeleutung;DC;S;IN
AH_SW;Autohold switch;Autohold-Taster;DC;S;IN
AIN_Evaporator_T_Sensor;Temperature_evaporator_sensor+;Temperturfuehler_nach_Verdampfer+;mixed;S;CRX
AIN_Evaporat_Temp_Senso;AIN_Evaporat_Temp_Senso;AIN_Evaporat_Temp_Senso;mixed;S;BI
Air;Air;Luft_Klima;mixed;S;CRX
Airbag;Airbag;Airbag;mixed;S;IN
AIRBAG_15Sig;Airbag_clamp15_signal;Airbag_Klemme_15_Signal;mixed;S;BI
AIRBAG_KL30;Airbag_clamp30;Airbag_Klemme30;mixed;V;BI
Airbag-Stg-OFF;Airbag;Airbag;mixed;S;IN
Airbag-Stg-ON;Airbag;Airbag;mixed;S;CRX
Aktivierung_ASW_links;Aktivierung_ASW_links;Aktivierung_ASW_links;mixed;S;BI
Aktivierung_ASW_rechts;Aktivierung_ASW_rechts;Aktivierung_ASW_rechts;mixed;S;BI
Aktivierung_HKL;Aktivierung_HKL;Aktivierung_HKL;mixed;S;BI
Aktor-;Shaker-;Impulsgeber-;AC;S;IN
Aktor+;Shaker+;Impulsgeber+;AC;S;IN
Alarm_Horn+;Alarm_Horn+;Alarmhorn+;mixed;V;BI
ALF_P-N;ALF_P-N;ALF_P-N;DC;V;OUT
ALM;Ambient Lightmodule;Ambiente Lichtmodul;DC;V;IN
Alrm;Alarm;Alarm_Sicherheitsmeldung;mixed;S;CRX
AMBL_1;AMBL_1;AMBL_1;mixed;S;BI
AMBL_2;AMBL_2;AMBL_2;mixed;S;BI
AMBL_3;AMBL_3;AMBL_3;mixed;S;BI
AMBL_4;AMBL_4;AMBL_4;mixed;S;BI
AMBL_SUPPLY;AMBL_SUPPLY;AMBL_SUPPLY;mixed;S;BI
AM/FM;AM_FM;AM_FM;mixed;A;BI
AM_FM0_DAB0;AM_FM0_DAB0;AM_FM0_DAB0;mixed;S;BI
AM/FM1/DAB2_Shield;AM/FM1/DAB2_shield;AM/FM1/DAB2_Schirm;mixed;S;BI
AM/FM1/DAB2_Sig;AM/FM1/DAB2_signal;AM/FM1/DAB2_Signal;mixed;S;BI
AM_FM_DAB;Antennasignal_Input;Antenneneingang;mixed;A;BI
AM/FM_Shield;AM_FM_Shield;AM_FM_Schrimm;mixed;A;OUT
Analog_ESD;GNDelekStaticDischa.GNDa.return path buckle swit.;Gemeins.Masse fuer Gurtschloesser etc.mit ESD;mixed;S;IN
AN_CRASH_1_N;AN_CRASH_1_N;AN_CRASH_1_N;mixed;S;BI
AN_CRASH_1_P;AN_CRASH_1_P;AN_CRASH_1_P;mixed;S;BI
AN_CRASH_2_N;AN_CRASH_2_N;AN_CRASH_2_N;mixed;S;BI
AN_CRASH_2_P;AN_CRASH_2_P;AN_CRASH_2_P;mixed;S;BI
AN_PL_IN;AN_PL_IN;AN_PL_IN;mixed;S;BI
AN_PL_OUT;AN_PL_OUT;AN_PL_OUT;mixed;S;BI
Ansteuerung_HVV_High;activation relais high (3);Schuetzansteuerung Plus (3);mixed;S;IN
Ansteuerung_HVV_Low;activation relais low (4);Schuetzansteuerung Minus (4);mixed;S;OUT
ANT1_WIFI5G_BT2_4G;ANT1_WIFI5G_BT2_4G;ANT1_WIFI5G_BT2_4G;mixed;S;BI
ANT2_WIFI5_WIFI2_4G;ANT2_WIFI5_WIFI2_4G;ANT2_WIFI5_WIFI2_4G;mixed;S;BI
ANT3_WIFI6E_BT;ANT3_WIFI6E_BT;ANT3_WIFI6E_BT;mixed;S;BI
ANT_BT;Antenna_Bluetooth;Antenne_Bluetooth;mixed;S;BI
ANT_BT_Sh;Antenna_Bluetooth_shield;Antenne_Bluetooth_Schirm;mixed;S;BI
AN_TEMP_RL_N;AN_TEMP_RL_N;AN_TEMP_RL_N;mixed;S;BI
AN_TEMP_RL_P;AN_TEMP_RL_P;AN_TEMP_RL_P;mixed;S;BI
AN_TEMP_VL_N;AN_TEMP_VL_N;AN_TEMP_VL_N;mixed;S;BI
AN_TEMP_VL_P;AN_TEMP_VL_P;AN_TEMP_VL_P;mixed;S;BI
AntiTheAlarmSen+;Anti-Theft_alarm_system_sensor+;Sensor_fuer_Diebstahlwarnanlage+;mixed;V;BI
ANT_WiFi1;Antenna_WiFi_1;Antenne_WiFi_1;mixed;S;BI
ANT_WiFi1_Sh;Antenna_WiFi_1_shield;Antenne_WiFi_1_Schirm;mixed;S;BI
ANT_WiFi2;Antenna_WiFi2;Antenne_WiFi2;mixed;S;BI
ANT_WiFi2_Sh;Antenna_WiFi2_shield;Antenna_WiFi2_Schirm;mixed;S;BI
Anzuender_P1;Igniter Pin 1;Anzuender Pin 1;mixed;S;IN
Anzuender_P2;Igniter Pin 2;Anzuender Pin 2;mixed;S;IN
APM_5V1;Accelerator_pedal_modul_5V1;Gaspedalmodul_5V1;mixed;V;BI
APM_5V2;Accelerator_pedal_modul_5V2;Gaspedalmodul_5V2;mixed;V;BI
APM_RM1;Accelerator_pedal_modul_ground_1;Gaspedalmodul_Masse_1;mixed;M;BI
APM_RM2;Accelerator_pedal_modul_ground_2;Gaspedalmodul_Masse_2;mixed;M;BI
APM_S1;Accelerator_pedal_modul_signal_1;Gaspedalmodul_Signal_1;mixed;S;BI
APM_S2;Accelerator_pedal_modul_signal_2;Gaspedalmodul_Signal_2;mixed;S;BI
AppIF;application_interface;Applikations_Interface;mixed;S;BI
ASV_1;CUTOFF_VALVE_BEFORE_EVAPORATOR;ABSPERRVENTIL_VOR_VERDAMPFER;DC;V;OUT
ASV_CHILLER;ASV_Chiller;ASV_Chiller;DC;S;BI
A_T_EKVMPOS;Comment;Beschreibung;mixed;S;BI
Audio;Audio;Klang_Audio_Ton;mixed;S;CRX
Audio_LS_1+;Speakeroutput;Lautsprecherausgang;mixed;S;OUT
Audio_LS_1-;Speakeroutput;Lautsprecherausgang;mixed;S;OUT
Audio_LS_2+;Speakeroutput;Lautsprecherausgang;mixed;S;OUT
Audio_LS_2-;Speakeroutput;Lautsprecherausgang;mixed;S;OUT
Audio_LS_3-;Speakeroutput;Lautsprecherausgang;mixed;S;OUT
Audio_LS_3+;Speakeroutput;Lautsprecherausgang;mixed;S;OUT
Audio_LS_4-;Speakeroutput;Lautsprecherausgang;mixed;S;OUT
Audio_LS_4+;Speakeroutput;Lautsprecherausgang;mixed;S;OUT
Auffindbel;location_light;Auffindbeleuchtung;mixed;S;BI
Auffindbel_ZV;location_light_ZV;Auffindbeleuchtung_ZV;mixed;S;BI
Ausg_lock_unlock;Output_lock_unlock;Ausgang_lock_unlock;mixed;S;CRX
AVAS_SPK_OUTA-;AVAS_SPK_OUTA-;AVAS_SPK_OUTA-;mixed;S;BI
AVAS_SPK_OUTA+;AVAS_SPK_OUTA+;AVAS_SPK_OUTA+;mixed;S;BI
AWL_PWM;The PWM signal of all weather light;Das PWM-signal des Allwetterlichts;mixed;S;IN
B+;Pos_Lade_Str_AG;Pos_Charge_Curr_outp;DC;V;OUT
B1;output;Ausgang;DC;V;OUT
